Cage Barcode,Cage Function,Cage Type,Colony,Project Licence,Number Of Animals (175),Last Validated,Room,Condition,time,Cleaned,sexed,weaned,comments
C00628246,Stock,Standard Cage,LLAB,Li PP4103600 (LL),1,Never,7,0,00:17,0,0,0,
C00635613,Stock,Standard Cage,LLAD,Li PP4103600 (LL),3,Never,7,0,00:15,0,0,0,
C00655977,Stock,Standard Cage,LLAF,Li PP4103600 (LL),2,Never,7,0,00:28,1,0,0,
C00640208,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),9,Never,7,0,01:33,1,1,0,
C00642674,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),2,Never,7,0,00:25,0,0,0,
C00642673,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),12,Never,7,0,01:05,0,1,0,
C00665013,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:20,0,0,0,
C00640997,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),5,Never,7,0,00:27,0,0,0,
C00667793,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),2,Never,7,0,00:25,0,0,0,
C00660762,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:18,0,0,0,
C00662918,Stock,Standard Cage,LLAK,Li PP4103600 (LL),4,Never,7,0,00:23,0,0,0,
C00632074,Stock,Standard Cage,LLAK,Li PP4103600 (LL),8,Never,7,0,01:55,1,0,1,
C00670475,Mating,Standard Cage,LLAK,Li PP4103600 (LL),4,Never,7,0,00:40,0,0,0,
C00660763,Stock,Standard Cage,LLAK,Li PP4103600 (LL),5,Never,7,0,00:40,0,0,0,
C00660765,Stock,Standard Cage,LLAK,Li PP4103600 (LL),3,Never,7,0,00:20,0,0,0,
C00632073,Stock,Standard Cage,LLAK,Li PP4103600 (LL),2,Never,7,0,00:17,0,0,0,
C00636388,Stock,Standard Cage,LLAK,Li PP4103600 (LL),4,Never,7,0,00:30,1,0,0,
C00615503,Stock,Standard Cage,LLAK,Li PP4103600 (LL),2,Never,7,0,00:20,0,0,0,
C00654055,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),5,Never,7,1,00:29,1,0,0,
C00664593,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),5,Never,7,1,00:52,1,0,0,
C00660730,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),2,Never,7,1,00:40,1,0,0,
C00667609,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),12,Never,7,1,03:30,1,0,1,
C00648261,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),3,Never,7,1,00:20,0,0,0,
C00667608,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),7,Never,7,1,01:09,1,0,0,
C00670459,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),4,Never,7,1,00:30,0,0,0,
C00665640,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),3,Never,7,1,00:18,0,0,0,
C00664585,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),2,Never,7,1,00:41,1,0,0,
C00648402,Mating,Standard Cage,NTBK,Tapon PP1228499 (NT),4,Never,7,1,00:50,1,1,0,
c00655285,Mating,Standard Cage,NTBK,Tapon PP1228499 (NT),4,Never,7,1,00:44,1,0,0,
C00667775,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),2,Never,7,1,00:21,0,0,0,
C00670474,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),1,Never,7,1,00:15,0,0,0,
C00665647,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),3,Never,7,1,00:50,1,0,0,
C00656037,Stock,Standard Cage,BRAE,,1,Never,1,1,00:24,0,0,0,
C00552920,Stock,Standard Cage,BRAM,Boulton PP1362096 (SB),1,Never,1,1,00:22,0,0,0,
C00644755,Mating,Standard Cage,SBER,Boulton PP1362096 (SB),1,Never,1,1,00:12,0,0,0,
C00636429,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),2,Never,1,1,00:19,0,0,0,
C00638169,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),5,Never,1,1,00:11,0,0,0,
C00645483,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),1,Never,1,1,00:10,0,0,0,
C00632886,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),4,Never,1,1,00:12,0,0,0,
C00657197,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),3,Never,1,1,00:28,0,0,0,
C00669284,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),1,Never,1,1,00:07,0,0,0,
C00644757,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),5,Never,1,1,00:23,0,0,0,
C00662384,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),4,Never,1,1,01:13,1,0,0,
C00657243,Stock,Standard Cage,SBES,Boulton PP1362096 (SB),4,Never,1,1,00:24,0,0,0,
C00664178,Stock,Standard Cage,SBEU,Boulton PP1362096 (SB),2,Never,1,1,00:46,1,0,0,
C00637708,Mating,Standard Cage,SBEU,Boulton PP1362096 (SB),11,Never,1,1,01:10,1,0,0,
C00668256,Stock,Standard Cage,SBEU,Boulton PP1362096 (SB),4,Never,1,1,00:53,1,0,0,
C00664197,Stock,Standard Cage,SBEU,Boulton PP1362096 (SB),3,Never,1,1,00:11,0,0,0,
